,Incr_rate,HousePriceIndex,FutureGrowth,FutureValue,Appreciation
3854,86.18538324420678,0.065,1.065,286211.103987524,77311.103987524
3855,76.93863789615644,0.053,1.053,339707.9312935693,77307.93129356927
3856,153.42087076710436,0.039,1.039,444005.80455228704,77305.80455228704
3857,86.70402445236883,0.039,1.039,443763.64158280124,77263.64158280124
3858,110.78553615960101,0.042,1.042,415320.88003679365,77220.88003679365
3859,120.07874015748033,0.05,1.05,356720.6967187501,77220.69671875011
3860,92.86239882266372,0.053,1.053,339319.54570138914,77219.54570138914
3861,109.64824120603016,0.065,1.065,285800.0779884993,77200.07798849931
3862,95.31835205992509,0.065,1.065,285800.0779884993,77200.07798849931
3863,228.6355475763016,0.039,1.039,443279.3156438295,77179.31564382953
3864,119.9367088607595,0.065,1.065,285663.0693221577,77163.06932215771
3865,137.61702127659575,0.05,1.05,356337.8122500001,77137.81225000008
3866,204.40931780366057,0.039,1.039,443037.1526743437,77137.15267434373
3867,170.80994386527667,0.042,1.042,414829.5214091252,77129.52140912518
3868,119.9478487614081,0.042,1.042,414461.0024383738,77061.0024383738
3869,100.47534165181224,0.042,1.042,414461.0024383738,77061.0024383738
3870,117.3277661795407,0.065,1.065,285252.043323133,77052.04332313302
3871,108.53269537480064,0.053,1.053,338542.7745170288,77042.77451702883
3872,100.38314176245211,0.053,1.053,338542.7745170288,77042.77451702883
3873,70.46936114732725,0.053,1.053,338542.7745170288,77042.77451702883
3874,148.8740617180984,0.047,1.047,375432.8127526019,77032.81275260192
3875,254.06976744186048,0.039,1.039,442431.7452506291,77031.74525062909
3876,225.08896797153025,0.039,1.039,442431.7452506291,77031.74525062909
3877,125.5663430420712,0.05,1.05,355827.2996250001,77027.2996250001
3878,68.76513317191282,0.05,1.05,355827.2996250001,77027.2996250001
3879,77.58872143898881,0.039,1.039,442310.66376588616,77010.66376588616
3880,147.25795531482734,0.039,1.039,442189.5822811433,76989.58228114329
3881,265.88957055214723,0.047,1.047,375181.18218105193,76981.18218105193
3882,222.48803827751198,0.042,1.042,413969.64381070534,76969.64381070534
3883,134.35534591194968,0.047,1.047,375055.36689527694,76955.36689527694
3884,84.58204334365324,0.047,1.047,375055.36689527694,76955.36689527694
3885,146.12272420768713,0.039,1.039,441947.41931165743,76947.41931165743
3886,145.59082892416225,0.05,1.05,355444.4151562501,76944.41515625012
3887,151.1355815554026,0.039,1.039,441826.3378269145,76926.3378269145
3888,119.29086538461537,0.039,1.039,441826.3378269145,76926.3378269145
3889,59.49908368967623,0.053,1.053,338024.9270607887,76924.92706078867
3890,235.4581673306773,0.042,1.042,413723.96449687105,76923.96449687105
3891,172.27162489894909,0.042,1.042,413723.96449687105,76923.96449687105
3892,111.76100628930818,0.042,1.042,413601.12483995396,76901.12483995396
3893,121.01116217990808,0.042,1.042,413478.2851830368,76878.28518303682
3894,102.44731475186948,0.047,1.047,374677.92103795195,76877.92103795195
3895,212.05450733752622,0.047,1.047,374552.10575217695,76852.10575217695
3896,184.33619866284624,0.047,1.047,374552.10575217695,76852.10575217695
3897,165.28384279475983,0.039,1.039,441342.01188794285,76842.01188794285
3898,140.1185770750988,0.039,1.039,441342.01188794285,76842.01188794285
3899,119.91525423728812,0.065,1.065,284429.99132508365,76829.99132508365
3900,95.66446748350612,0.065,1.065,284429.99132508365,76829.99132508365
3901,98.99408284023669,0.042,1.042,413109.76621228544,76809.76621228544
3902,75.29481132075472,0.047,1.047,374048.8446090769,76748.84460907691
3903,87.95093795093794,0.053,1.053,337248.15587642835,76748.15587642835
3904,150.85817524841914,0.05,1.05,354423.3899062501,76723.38990625012
3905,65.54354736172918,0.053,1.053,337118.6940123683,76718.69401236827
3906,63.10223266745005,0.05,1.05,354295.7617500001,76695.76175000012
3907,136.3872644574399,0.039,1.039,440494.4414947424,76694.44149474241
